ENCODED_MCT,주요고객층,M12_SME_RY_ME_MCT_RAT,M12_SME_BZN_ME_MCT_RAT,M12_MAL_1020_RAT,M12_MAL_30_RAT,M12_MAL_40_RAT,M12_MAL_50_RAT,M12_MAL_60_RAT,M12_FME_1020_RAT,M12_FME_30_RAT,M12_FME_40_RAT,M12_FME_50_RAT,M12_FME_60_RAT
003AC99735,M12_MAL_1020_RAT,13.51666667,8.266666667,16.58390417,16.08219167,11.54142917,10.51335,3.969045833,11.69942917,11.31364167,8.129404167,7.38665,2.785120833
00F54829E1,M12_FME_30_RAT,13.51666667,,9.803041667,13.64114583,8.644204167,5.977,2.665504167,14.34279167,19.82135417,12.58079583,8.698,3.830329167
00FDB35E9C,M12_FME_1020_RAT,13.51666667,,19.482025,13.704325,3.955654167,3.910916667,1.434541667,26.40130833,18.533175,5.352679167,5.28075,1.944625
01EDD97C21,M12_MAL_30_RAT,13.3,6.370833333,14.50031667,22.9746,14.1545875,10.6579625,5.474091667,6.85385,10.94206667,6.741245833,5.083704167,2.634241667
01FD0FCC3D,M12_FME_1020_RAT,17.35,8.107142857,7.771414286,6.907857143,1.543685714,1.489257143,0.76365,38.22144286,27.87785714,6.1706,6.1036,3.13635
0220D6AA93,M12_FME_1020_RAT,13.51666667,9.583333333,18.03455,12.18359167,4.26455,5.369691667,2.380354167,24.59878333,16.708075,5.839616667,7.367808333,3.2613125
029F2B4A59,M12_FME_30_RAT,16.97916667,,9.45795,16.27892917,6.641270833,3.546916667,0.650345833,16.28788333,28.2252375,11.5795625,6.223916667,1.1204875
02A32AE992,M12_FME_30_RAT,13.51666667,,13.24710833,13.20809583,4.285041667,4.929383333,2.635616667,21.286225,21.30857083,6.889958333,7.983116667,4.197716667
02EECADFE6,M12_FME_1020_RAT,17.31111111,8.677777778,19.1325,5.295,1.262475,2.0624625,0.8778,48.405,14.03,2.512525,5.1125375,1.2972
02FE4FD151,M12_FME_30_RAT,16.97916667,8.029166667,13.5913,19.61304583,7.5035125,3.2767875,1.013666667,16.55453333,24.0077875,9.225654167,3.9982125,1.2405
035ADB2AA8,M12_MAL_30_RAT,16.97916667,,20.71158947,22.85528421,6.225742105,5.797215789,1.276684211,16.26209474,16.68155789,5.074257895,3.950152632,1.154894737
036B3FD49B,M12_MAL_30_RAT,13.50416667,8.320833333,14.843025,23.08268333,11.99445,7.357966667,2.244179167,10.081975,15.66315,8.184716667,5.0212,1.5224875
03BE2D577F,M12_MAL_30_RAT,14.25,8.261111111,16.29078824,20.72088235,8.268352941,4.228076471,1.321641176,15.76215294,20.06147059,8.002235294,4.089570588,1.278358824
0487117D58,M12_FME_1020_RAT,13.51666667,10.09583333,18.71780833,2.21795,2.496258333,4.972833333,0.6642375,45.53635833,5.461216667,6.095408333,12.20216667,1.631595833
055A2785B9,M12_MAL_30_RAT,16.97916667,8.25,6.16555,21.13594583,13.361325,12.8310625,10.2354375,3.526116667,12.02655417,7.572008333,7.302270833,5.831229167
05EE42C739,M12_FME_30_RAT,13.51666667,8.029166667,10.78532917,17.1477375,6.596016667,2.686654167,1.109008333,17.38550417,27.5897625,10.59148333,4.3175125,1.790991667
06A87DAA45,M12_FME_60_RAT,5.6125,8.029166667,0,0,0,0,0,0,2.458333333,0,0,97.54166667
085F6E716F,M12_MAL_30_RAT,17.28823529,,12.31535294,20.65525882,11.74037647,8.040141176,7.781882353,8.355235294,14.25650588,7.053741176,4.830447059,4.982823529
08A8D396B4,M12_FME_30_RAT,17.2047619,8.342857143,12.48117143,16.66911905,6.016219048,3.88982381,1.305590476,18.48549524,24.64040476,8.807590476,5.757795238,1.937266667
08D893CAA8,M12_FME_30_RAT,16.97916667,,7.5765375,13.47385833,10.00197917,8.1907625,3.887079167,10.06512917,17.73030833,13.18552083,10.75090417,5.1295875
0961D33241,M12_FME_30_RAT,16.97916667,9.583333333,4.7352375,8.592395833,6.9432875,4.645208333,1.0121875,13.74809583,24.15760417,19.97337917,13.24229167,2.9628125
09A5C8DB83,M12_FME_30_RAT,16.97916667,8.029166667,11.45289167,18.79020417,7.951029167,7.509175,4.178295833,11.538775,18.86812917,8.0031375,7.528325,4.184204167
0AD9FBF8D6,M12_FME_30_RAT,16.97916667,8.529166667,3.002391667,12.64902083,9.520420833,3.055375,1.7944,7.039275,29.55097917,22.0879125,7.119625,4.1556
0AF7BD60A5,M12_MAL_50_RAT,13.51666667,8.266666667,7.470095833,10.972975,10.62707083,16.61438333,12.28705833,5.384070833,7.747858333,7.7062625,12.09395,9.083775
0C02E54954,M12_FME_30_RAT,13.51666667,,13.22841667,14.75578333,10.14257083,8.680079167,3.030545833,13.40908333,14.81921667,10.19909583,8.707420833,3.019454167
0C074FD60A,M12_FME_1020_RAT,17.35,8.135714286,20.18027143,18.49123571,1.160564286,1.893928571,0.670728571,30.39115714,21.78019286,1.560864286,3.134642857,0.7507
0C1B547B6E,M12_FME_30_RAT,16.97916667,8.320833333,14.00699167,15.34257083,7.491733333,6.433208333,3.631716667,15.81800833,17.3282625,8.449933333,7.350125,4.143283333
0C8BE8ECAD,M12_MAL_30_RAT,13.51666667,,14.57539583,19.30125833,12.79110833,6.320766667,1.8100125,12.0829375,15.87790833,10.554725,5.2084,1.4899875
0C9C887E27,M12_MAL_30_RAT,14.58333333,,15.333175,18.99136667,7.484141667,6.2855,3.122691667,15.041825,18.4503,6.665858333,5.506166667,3.118975
0CB94CB82A,M12_MAL_30_RAT,13.51666667,,20.026525,23.94369167,8.796420833,4.148354167,1.498533333,14.24430833,17.04380833,6.2619125,2.9558125,1.068133333
0CCC996EB3,M12_FME_30_RAT,14.8,,2.25784,12.01854,11.48276,5.36764,2.91264,4.38216,23.26146,22.21724,10.39236,5.64736
0DE3499749,M12_FME_30_RAT,13.51666667,8.25,5.729258333,14.43580417,8.391816667,7.106366667,3.223545833,8.987408333,22.70169583,13.17485,11.15613333,5.101454167
0E47B24887,M12_FME_30_RAT,16.97916667,8.529166667,5.669295833,12.0466,8.053233333,4.5316125,2.091216667,11.8015375,25.16173333,16.75093333,9.560054167,4.333783333
0E614A7B1A,M12_FME_30_RAT,16.97916667,,10.8763125,19.4640375,8.855979167,6.7287125,3.369491667,11.06535417,20.01929583,9.256520833,6.929620833,3.405508333
0E7F1F5130,M12_FME_1020_RAT,16.97916667,10.09583333,22.2385125,4.238245833,1.097233333,2.770375,0.487316667,49.86565417,9.5325875,2.4611,6.217125,1.100183333
0EE4BD7D7A,M12_FME_30_RAT,16.44166667,,9.348808333,11.0418625,7.362,3.8782,2.375379167,18.58869167,21.47480417,14.12133333,7.530133333,4.257954167
0F646F50F7,M12_FME_30_RAT,13.51666667,8.029166667,11.284825,15.21354167,7.5009375,4.388425,1.6557,16.877675,22.75729167,11.24489583,6.582408333,2.498466667
0FA542A8DB,M12_MAL_60_RAT,13.51666667,6.370833333,0,1.024141667,16.30415833,18.25469167,37.66556667,0,0.230025,6.312508333,6.820308333,13.38026667
0FAD4CAABE,M12_FME_1020_RAT,17.2875,,15.97688571,16.88302857,3.966942857,1.241828571,0,26.79454286,26.41697143,6.904485714,1.843885714,0
1.71E+17,M12_MAL_1020_RAT,16.97916667,,25.85660417,11.23041667,5.898070833,5.146508333,2.816291667,24.94339583,10.78208333,5.676929167,4.945158333,2.692041667
10BF2110CC,M12_MAL_30_RAT,17.24,8.08,22.24974,32.29102,10.3273,4.67976,1.31194,9.31026,13.14898,4.1927,1.94024,0.54806
10D9319CCB,M12_MAL_50_RAT,17.16363636,9.272727273,0,23.08,12.83,58.58,5.5,0,0,0,0,0
11191365FD,M12_MAL_60_RAT,19.29583333,8.529166667,0,0,12.43487917,26.29225417,30.4949375,0,0,11.17762083,9.807745833,9.788395833
120283327E,M12_FME_40_RAT,13.51666667,9.6125,2.851008333,8.059716667,13.94465833,7.045908333,2.6808875,5.194825,14.95695,26.78034167,13.462425,5.0316125
12A28908F1,M12_FME_1020_RAT,14.58333333,9.316666667,13.52078182,12.52599091,5.109254545,3.990509091,2.780772727,22.14285455,20.50128182,8.372563636,6.509490909,4.5465
132078A4FE,M12_FME_1020_RAT,16.97916667,8.320833333,13.921525,12.6487625,3.620391667,2.261933333,0.526925,28.38680833,25.63040417,7.337941667,4.592233333,1.073075
133FADDC35,M12_SME_RY_ME_MCT_RAT,13.51666667,9.583333333,10.5331,10.17323333,8.98625,8.911245833,5.806379167,13.18773333,12.73093333,11.26791667,11.15125417,7.256120833
1389DE67CE,M12_FME_40_RAT,13.51666667,8.529166667,4.7932375,11.37514583,13.52275417,6.131008333,2.999629167,7.535929167,17.92485417,21.3064125,9.664825,4.737870833
13C3C13D99,M12_MAL_50_RAT,15.325,8.266666667,11.96465,12.90215,10.26542083,16.64155833,9.024295833,7.877016667,8.24785,6.7179125,10.74594167,5.617370833
13D9737A1D,M12_FME_1020_RAT,7.1875,9.583333333,13.3834625,7.4891125,4.957395833,3.4659875,0.88155,30.98737083,17.31922083,11.46760417,8.017345833,2.039283333
13F02B91F6,M12_FME_1020_RAT,16.97916667,10.09583333,21.16755417,9.282525,2.862504167,2.859933333,0.4940375,36.54494583,16.03414167,4.974995833,4.9234,0.8559625
158A1920D0,M12_FME_30_RAT,16.97916667,9.308333333,6.022341667,9.5288625,5.518575,1.791095833,1.259883333,19.03599167,30.00447083,17.25225833,5.588070833,3.99845
15B7F02740,M12_FME_30_RAT,16.90416667,8.25,10.5923125,15.43361667,9.0859375,8.8269375,2.014133333,12.4201875,18.16638333,10.7265625,10.36889583,2.390033333
15CFCB9040,M12_FME_1020_RAT,16.97916667,8.320833333,15.00995833,8.227366667,3.699154167,2.9828125,0.637820833,34.12754167,18.69346667,8.400845833,6.771354167,1.4455125
1676020CB1,M12_FME_1020_RAT,16.73333333,9.1,13.1944,7.5065,2.9435,1.4762,0.29135,38.9056,21.9935,8.5565,4.3238,0.85865
167F268F8E,M12_MAL_40_RAT,13.51666667,9.583333333,1.658008333,10.04027917,21.11903333,18.77664167,8.037420833,1.146158333,7.0513875,14.41846667,12.440025,5.337579167
16F5C2A5B3,M12_MAL_30_RAT,13.51666667,8.320833333,14.65739583,16.65474167,10.1024625,9.837766667,6.474733333,10.75927083,12.199425,7.414204167,7.2039,4.7211
16FA1843AE,M12_FME_1020_RAT,17.28823529,,16.01264118,6.127364706,1.405458824,1.872194118,0.275852941,46.53441765,17.55498824,4.035717647,5.398394118,0.759441176
17FCA23DD7,M12_FME_30_RAT,13.51666667,,4.467608333,9.708504167,7.611758333,7.2968,4.114129167,9.024058333,19.54982917,15.30490833,14.69903333,8.244204167
180F6A644D,M12_FME_1020_RAT,13.51666667,8.320833333,17.833875,14.07047083,5.858525,4.280220833,1.596629167,23.06195833,18.17119583,7.574808333,5.523945833,2.061704167
18139EA68D,M12_FME_30_RAT,14.25,8.027777778,11.88402222,15.24541111,8.836338889,4.955005556,2.677477778,15.39931111,19.73792222,11.47477222,6.367216667,3.416966667
18FC952F28,M12_MAL_1020_RAT,13.51666667,10.09583333,33.54713478,7.95753913,3.990904348,7.968243478,2.202673913,26.75721304,6.38593913,3.156921739,6.283930435,1.736456522
197C457DEF,M12_SME_RY_ME_MCT_RAT,16.97916667,8.320833333,6.342791667,8.061104167,6.908708333,12.09696667,14.16940417,6.978041667,8.884729167,7.628791667,13.3322,15.5972625
19FD619523,M12_FME_1020_RAT,13.51666667,,16.88063333,15.33947917,5.676508333,2.359245833,0.2027625,24.29436667,22.7646875,8.623491667,3.482420833,0.351404167
1AE0F9961C,M12_FME_30_RAT,13.51666667,,13.4568375,16.8735125,10.89972083,5.8350625,2.332616667,13.8056625,17.29732083,11.16277917,5.9649375,2.38405
1AF84D2DC1,M12_FME_30_RAT,17,9.228571429,8.169257143,14.86191429,6.0397,7.399557143,2.6354,12.94502857,23.10951429,9.4603,11.37187143,4.021742857
1BCD8AC994,M12_FME_30_RAT,15.1,9.2,7.9967,13.22756667,2.8378,6.547933333,3.056666667,15.5033,26.40576667,5.6622,12.5854,6.176666667
1C0AE3E10C,M12_FME_30_RAT,14.62,8.52,10.58425556,11.09563333,1.138211111,1.779466667,0.0590444444,32.84907778,33.38214444,3.561788889,5.342755556,0.207622222
1C69DD5AFC,M12_MAL_30_RAT,13.51666667,,19.53235833,20.72956667,9.655058333,6.119608333,2.146308333,14.100975,14.90793333,6.899108333,4.359558333,1.520358333
1CC86C2EB2,M12_FME_30_RAT,13.51666667,8.320833333,11.0503375,16.4543,6.0324375,2.463270833,0.636695833,19.3746625,28.31653333,10.35089583,4.265895833,1.075804167
1CCF1F16FD,M12_FME_30_RAT,14.35294118,,6.082052941,12.19878824,8.710847059,3.450805882,1.430458824,13.01206471,26.05415294,18.6068,7.378605882,3.046011765
1D9B20B1B9,M12_FME_30_RAT,13.51666667,8.25,7.472425,12.05022083,9.8423,7.401933333,6.640916667,9.781741667,15.73727917,12.82436667,9.639733333,8.617416667
1DBC834628,M12_FME_30_RAT,15.1,9.15,15.36193333,21.6828,7.133333333,3.7574,0.7816,16.1714,22.78386667,7.533333333,3.9426,0.8184
1DDB44FF35,M12_FME_30_RAT,16.97916667,,14.4365,20.15814167,7.299920833,3.360270833,1.747225,16.28433333,22.72935833,8.229245833,3.7855625,1.973608333
1E8F8916F6,M12_FME_30_RAT,17.31111111,8.022222222,10.8033875,12.679675,5.653525,2.356225,0.9454125,22.5966125,26.245325,11.796475,4.931275,1.9920875
1F4203EA83,M12_FME_30_RAT,13.51666667,,6.3403125,11.7573875,8.433708333,4.994820833,4.462941667,12.00135417,20.89677917,14.40795833,8.767679167,7.953725
1FAF18BB8F,M12_FME_1020_RAT,14.35294118,,14.23371176,14.15006471,6.178958824,4.415752941,1.165870588,22.46628824,20.52640588,8.556335294,6.678364706,1.622364706
20CD5C4AB7,M12_MAL_30_RAT,13.51666667,,20.42305,25.32733333,12.454,9.3535125,3.745879167,8.343616667,10.2435,4.929333333,3.692320833,1.474954167
21348D6015,M12_FME_30_RAT,16.97916667,,3.6798625,13.17475,13.07712083,8.425020833,2.894116667,5.253470833,18.77941667,18.63537917,11.97914583,4.114216667
21373CB273,M12_MAL_30_RAT,13.51666667,8.029166667,10.3068625,21.53592083,18.122475,12.845475,5.056104167,4.897304167,10.2099125,8.552525,6.075358333,2.4105625
2143174547,M12_MAL_30_RAT,16.97916667,8.266666667,11.5264375,22.95150833,11.02913333,8.898645833,5.3736375,8.144395833,14.81515833,7.487533333,6.463854167,3.318029167
21A130787D,M12_MAL_1020_RAT,17.24,9.22,18.12546,14.7534,6.7172,6.53572,4.69828,17.53454,14.2866,6.5028,6.32428,4.54172
21B52E1F0F,M12_FME_30_RAT,16.97916667,,14.35545,14.60205833,3.286670833,1.717695833,0.549495833,27.11955,27.793775,6.254995833,3.2656375,1.050504167
225DC4C12C,M12_FME_30_RAT,13.51666667,8.320833333,15.78627917,18.68412917,9.4021875,3.5621625,1.644520833,16.33455417,19.3575375,9.856145833,3.633670833,1.7388125
2445E4D19D,M12_FME_30_RAT,16.97916667,8.320833333,17.22175833,17.92925833,3.98835,2.248966667,0.909829167,23.46990833,24.46240833,5.44915,3.071866667,1.2443375
2485494277,M12_FME_30_RAT,13.51666667,8.529166667,7.428241667,18.57219167,11.62625,4.3598625,2.0536625,9.092591667,23.97780833,14.62375,5.681804167,2.588004167
24F5384BB4,M12_FME_1020_RAT,13.8952381,8.342857143,15.65311429,5.288138095,0.566457143,1.38692381,0.260366667,52.48974286,16.78805238,2.043066667,4.6226,0.911061905
255821302B,M12_FME_1020_RAT,13.51666667,9.583333333,15.2650375,10.47759167,6.266770833,5.723525,2.960491667,22.24329583,15.264075,9.1415625,8.347308333,4.314508333
25B32948C5,M12_FME_1020_RAT,16.95,9.066666667,13.48532,9.8721,3.7632,3.18056,0.72468,30.05468,21.8679,8.3568,7.09944,1.61532
268A868E38,M12_FME_1020_RAT,13.51666667,8.029166667,10.11889583,10.1580125,5.974933333,4.164104167,1.996958333,21.0644375,20.91282083,12.6584,8.7275625,4.223875
26ACE594E8,M12_FME_1020_RAT,16.97916667,10.09583333,19.5220125,10.10427083,4.682470833,4.302183333,0.583241667,30.24465417,15.69572917,7.271695833,6.685316667,0.904258333
2716FFD10A,M12_FME_30_RAT,16.97916667,8.029166667,12.43804167,13.99271667,7.837,5.988520833,2.9832875,17.13695833,18.39895,9.992166667,7.690645833,3.533379167
274F7C9F52,M12_FME_30_RAT,16.97916667,8.029166667,16.99782917,20.07336667,5.473420833,2.670675,1.0161,19.63550417,23.37246667,6.455745833,3.087658333,1.204733333
28DC0855AC,M12_FME_60_RAT,16.97916667,8.029166667,0.708675,3.515395833,6.111733333,14.84345,18.8539625,0.691325,4.6179375,7.238266667,17.83988333,25.60437083
2AF934A41E,M12_FME_1020_RAT,13.51666667,8.029166667,15.08036667,8.966975,1.877866667,1.991333333,0.405808333,38.1738,22.71219167,4.755466667,5.021166667,1.019191667
2BE371C2DE,M12_FME_30_RAT,16.825,8.1,5.7696,10.69815,5.5903,4.35365,5.8133,12.7054,22.30185,11.8347,9.04635,11.8867
2BF66155BC,M12_FME_1020_RAT,16.97916667,8.320833333,13.17165833,9.408704167,5.346775,5.040016667,2.951170833,23.499175,16.8079625,9.532391667,8.98915,5.2571625
2C2BF9EB44,M12_FME_30_RAT,15.4,9.266666667,12.55216667,15.33543333,9.358933333,5.788733333,2.132166667,15.34783333,18.56456667,11.2744,7.111266667,2.5345
2C72D19DB4,M12_MAL_30_RAT,13.51666667,8.529166667,10.03356667,14.87786667,13.74079583,11.24390417,5.158845833,8.224766667,12.14713333,11.23420417,9.164429167,4.191154167
2C8DAA2BF9,M12_FME_30_RAT,17.01666667,8.320833333,8.0505375,12.60945,5.6892625,2.569420833,0.528775,19.4994625,30.23638333,13.5232375,6.047245833,1.237891667
2CF63CC8AA,M12_FME_1020_RAT,16.97916667,8.029166667,16.81794167,7.982129167,1.726979167,2.189666667,0.428379167,40.60289167,19.5845375,4.256354167,5.327,1.067454167
2E4CDEA048,M12_FME_30_RAT,17.22142857,8.107142857,7.511761538,9.025723077,1.639392308,1.899261538,0.949769231,28.56516154,33.80504615,6.0683,6.816123077,3.696384615
2E5E8F46A2,M12_SME_RY_ME_MCT_RAT,16.97916667,9.583333333,7.889466667,11.95610417,7.1589,13.90105,5.915204167,8.8647,13.4480625,8.086933333,16.02811667,6.7514625
2E8B2318F2,M12_FME_30_RAT,16.97916667,8.320833333,11.6018375,19.7893375,8.277920833,3.4743,1.064129167,14.60232917,24.9731625,10.4554125,4.4007,1.3400375
2EAE67C0B4,M12_MAL_30_RAT,14.51428571,6.707142857,14.97229286,20.16935,8.8768,5.256071429,1.779657143,14.31342143,19.51636429,8.158914286,4.965357143,1.984628571
2F190FBDCA,M12_FME_30_RAT,12.91666667,,8.098652941,10.97397059,5.087141176,4.140617647,1.137005882,19.67193529,26.36720588,11.83638824,9.912323529,2.780641176
2F2BBD5117,M12_MAL_30_RAT,15.325,,13.60504167,26.19192083,14.9909625,9.334025,2.125170833,6.999125,13.28724583,7.675704167,4.674308333,1.099829167
2FB475D73E,M12_FME_30_RAT,13.51666667,,8.858683333,18.56010417,8.5131125,4.3435,2.4102375,11.86215,24.94822917,11.42855417,5.827333333,3.243929167
2FF80BC960,M12_FME_1020_RAT,8.2375,8.029166667,12.8161625,6.4432625,1.726616667,1.510695833,0.381595833,43.30050417,21.65257083,5.810883333,5.076804167,1.2767375
30262EF19E,M12_FME_1020_RAT,17.25,8.1,13.14278333,6.9177,1.723766667,1.58055,0.448016667,42.57388333,21.64896667,5.409566667,4.902783333,1.635316667
304DF7C3D2,M12_FME_30_RAT,17.32666667,9.5,9.111014286,9.158442857,4.493828571,4.565785714,1.755471429,22.26755714,22.32012857,10.94902857,11.13421429,4.265957143
30623F3257,M12_MAL_40_RAT,13.51666667,,6.159533333,14.46535833,19.219225,12.30746667,8.492404167,4.152966667,9.213808333,12.668275,8.030033333,5.2867625
309BDE407B,M12_FME_30_RAT,16.28,,6.00468,16.07732,7.32832,7.4146,2.79868,9.17532,24.50268,11.13168,11.2654,4.26132
3115CB8448,M12_FME_1020_RAT,13.51666667,8.029166667,14.0276375,10.11197083,3.039179167,2.546145833,0.706125,32.03069583,23.20469583,6.9024875,5.8371875,1.614708333
312F1E6B7B,M12_FME_30_RAT,16.97916667,8.029166667,6.6935875,8.143670833,4.677541667,2.649066667,1.272379167,21.7939125,26.38549583,15.19329167,8.950933333,4.235954167
32514851CD,M12_FME_30_RAT,13.51666667,8.25,6.652325,8.572420833,5.78225,8.3104,5.3951875,12.485175,16.11924583,10.89691667,15.6021,10.18397917
335B38273C,M12_FME_1020_RAT,16.97916667,8.320833333,14.75569167,7.113775,2.181208333,1.996566667,0.338858333,41.34430833,19.82789167,5.968791667,5.528433333,0.940308333
33706FFD69,M12_FME_40_RAT,13.51666667,9.6125,5.702133333,10.1561875,10.98688333,8.629058333,3.691575,8.8437,15.7688125,17.06728333,13.42094167,5.741758333
33C513E513,M12_FME_30_RAT,17.27222222,,14.69252222,14.74672778,3.815122222,1.969927778,0.628483333,26.31858889,26.33105,6.812655556,3.524516667,1.121516667
3456938AFA,M12_FME_30_RAT,13.51666667,,8.432920833,12.4517125,9.10275,8.066675,1.740054167,12.75457917,18.80245417,13.69308333,12.28749167,2.6641125
34ADC7D5B3,M12_MAL_60_RAT,14.75714286,6.707142857,3.600378571,10.75294286,9.614757143,29.05407143,34.49575,0.513907143,1.5542,1.356671429,4.131642857,4.95425
352569F469,M12_MAL_30_RAT,15.0625,9.2375,12.6359,15.5466625,7.15985,8.427675,8.2625,11.6391,14.1158375,6.66515,7.859825,7.7
3593B2D487,M12_FME_30_RAT,16.97916667,8.029166667,12.31477083,16.96121667,6.937820833,4.9356875,1.756154167,19.6810625,21.17628333,8.337179167,5.843479167,2.068845833
365914E11C,M12_MAL_30_RAT,11.87777778,,14.86234444,29.20073333,13.59723333,10.74544444,2.2863,6.159877778,12.09926667,5.6361,4.454555556,0.947033333
36E3A686C1,M12_FME_60_RAT,13.51666667,8.529166667,0,0,0,0,0,0,0,0,32.60869565,67.39130435
36FA50BD7D,M12_FME_1020_RAT,17.34166667,8.283333333,14.00215833,11.55965,3.064108333,2.310091667,2.313533333,29.12284167,22.69868333,6.452558333,4.614908333,3.903133333
378C662D8E,M12_FME_1020_RAT,17.27222222,8.261111111,12.46352222,5.019527778,2.396783333,2.240227778,0.634488889,42.04203333,17.14713889,8.192105556,7.626438889,2.232177778
37AA28CAF8,M12_FME_1020_RAT,16.97916667,8.320833333,16.1378,8.588995833,2.083470833,2.019104167,0.512845833,38.89136667,20.67767083,5.0123625,4.855895833,1.237154167
37C22962DB,M12_MAL_30_RAT,14.12631579,8.036842105,16.23084737,21.83732105,10.11543158,6.053505263,2.152205263,12.60599474,16.85215263,7.805621053,4.672810526,1.663584211
383481B7AC,M12_FME_1020_RAT,16.97916667,8.320833333,15.43325,10.488,3.4837625,2.8802,0.710658333,31.38341667,21.28283333,7.0662375,5.848966667,1.435175
384FAF740C,M12_FME_30_RAT,16.88,,6.24106,15.08226,9.93026,8.57862,4.70694,7.01894,19.03774,12.56974,11.08138,5.79306
387BDBCD80,M12_FME_1020_RAT,16.97916667,8.029166667,8.0125125,4.581575,1.7754875,1.583316667,0.4256125,42.15832083,22.37259167,9.228679167,7.675016667,2.1868875
391836F1E0,M12_FME_1020_RAT,14.35294118,,15.175225,11.45666875,2.88736875,3.14229375,1.46640625,30.162275,21.66208125,5.46263125,6.00145625,2.57734375
3AE3E04CCF,M12_FME_1020_RAT,18.42916667,10.09583333,31.62613333,6.004004167,3.2323875,2.7456375,0.4210875,40.1822,7.645995833,4.1176125,3.487695833,0.537245833
3AE8B97E90,M12_FME_1020_RAT,16.97916667,8.029166667,16.0877,10.01137917,2.526275,2.219654167,0.634629167,35.02896667,21.77195417,5.494558333,4.8220125,1.377870833
3AF3906E1E,M12_FME_30_RAT,17.14545455,,7.009652381,14.63821905,8.789814286,9.985019048,4.067971429,8.866538095,18.48559048,11.02447143,12.2578381,4.855838095
